compound_name,compound_id_in_paper,smiles,gq_emax,gq_ec50_nM,barr_emax,barr_ec50_nM,log_bias,bias_class,bias_method,reference_agonist,source
LYSERGIDE,CHEMBL263881,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,100.0,,99.7,,-0.0013048416883442,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL3589597,CHEMBL3589597,COc1cccc(CNCCc2cc(OC)c(Br)cc2OC)c1,38.8,,113.0,,0.4642467178892125,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL3589598,CHEMBL3589598,COc1cc(CCNCc2cccc(O)c2)c(OC)cc1Br,28.0,,112.0,,0.6020599913279624,barr-biased,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
SEROTONIN,CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,222.0,,110.0,,-0.3049602892924136,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5170895,CHEMBL5170895,COc1cc(CCNCc2ccccc2OC)c(OC)cc1C#N,159.0,,161.0,,0.0054287517113982,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5173321,CHEMBL5173321,COc1cc(CCNC2COc3ccccc32)c(OC)cc1C#N,18.0,,82.9,,0.6632820254469676,barr-biased,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5176147,CHEMBL5176147,COc1cc(CCNC2CCOc3ccccc32)c(OC)cc1Br,47.7,,121.0,,0.4042669912763361,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5184791,CHEMBL5184791,COc1cc(CCNCc2ccccc2O)c(OC)cc1C#N,123.0,,150.0,,0.0861861476162833,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5189232,CHEMBL5189232,COc1cc(CCNCc2cccc3c2OCO3)c(OC)cc1C#N,83.0,,114.0,,0.1378267589603986,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5190617,CHEMBL5190617,COc1cc(CCNCc2cccc(O)c2)c(OC)cc1C#N,22.5,,106.0,,0.6731233471534077,barr-biased,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5201317,CHEMBL5201317,COc1cc(CCNCc2ccccc2F)c(OC)cc1C#N,72.5,,114.0,,0.1965668447654789,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5208046,CHEMBL5208046,COc1cc(CCNC2COc3ccccc32)c(OC)cc1Br,48.7,,96.6,,0.297448165200859,balanced,Emax_only,LSD/serotonin (per paper),25CN-NBOH (J Med Chem 2022)
CHEMBL5394639,CHEMBL5394639,COc1cccc2[nH]nc(C3=CCCNC3)c12,81.7,,75.9,,-0.0319802806369351,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5399727,CHEMBL5399727,Fc1ccc2[nH]nc(C3=CCCNC3)c2c1,88.3,,96.0,,0.0363105294619998,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5401711,CHEMBL5401711,CN1CCC=C(c2n[nH]c3cc(F)ccc23)C1,47.1,,27.0,,-0.2416571429699088,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5403370,CHEMBL5403370,Fc1ccc2c(C3=CCCNC3)n[nH]c2c1,79.4,,59.4,,-0.1260340574459028,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5405349,CHEMBL5405349,COc1cccc2[nH]cc(C3=CCCN(C)C3)c12,91.0,,47.7,,-0.2805230132809796,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5410020,CHEMBL5410020,COc1ccnc2[nH]cc(C3=CCCN(C)C3)c12,67.1,,32.2,,-0.3188666484731611,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5415797,CHEMBL5415797,CC(C)c1ccc2[nH]cc(C3=CCCNC3)c2c1,58.8,,31.4,,-0.2724476780029235,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5416033,CHEMBL5416033,Cc1cccc2[nH]cc(C3=CCCNC3)c12,85.7,,42.0,,-0.3097315315252977,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5416604,CHEMBL5416604,Clc1ccc2[nH]nc(C3=CCCNC3)c2c1,94.8,,97.0,,0.0099633969281786,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5418595,CHEMBL5418595,Cc1ccnc2[nH]cc(C3=CCCN(C)C3)c12,68.7,,38.9,,-0.2470071357338427,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
