assay_chembl_id,assay_description,document_chembl_id,n_records,pathway
CHEMBL5135838,Agonist activity at human 5HT2A receptor stably expressed in Flp-In-T-REx-293 cells assessed as increase in Gq-mediated calcium flux by Fluo-4 direct dye based FLIPR Tetra assay,CHEMBL5131517,202,gq
CHEMBL5135839,Agonist activity at human 5HT2A receptor stably expressed in Flp-In-T-REx-293 cells assessed as maximal Gq-mediated calcium flux by Fluo-4 direct dye based FLIPR Tetra assay relative to control,CHEMBL5131517,98,gq
CHEMBL4681097,Agonist activity at human 5-HT2A receptor expressed in human Flp-In-293 cells assessed as induction of calcium flux incubated for 1 hr by Fluo-4 direct dye based FLIPR assay,CHEMBL4680082,88,gq
CHEMBL3773632,Agonist activity at recombinant human 5HT2A receptor expressed in Flp-In-293 cells assessed as calcium flux by FLIPR assay,CHEMBL3769385,88,gq
CHEMBL957591,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay,CHEMBL1153382,72,gq
CHEMBL957590,Agonist activity at human 5HT2A receptor expressed in HEK293 cells at 10 uM assessed as calcium flux by FLIPR assay relative to serotonin,CHEMBL1153382,72,gq
CHEMBL918968,Activity at human 5HT2A expressed in HEK293E cells assessed as elevation of intracellular calcium by 384-FLIPR assay,CHEMBL1142951,48,gq
CHEMBL918971,Activity at human 5HT2A expressed in HEK293E cells assessed as elevation of intracellular calcium by 384-FLIPR assay relative to serotonin,CHEMBL1142951,46,gq
CHEMBL4681099,Agonist activity at human 5-HT2A receptor expressed in human Flp-In-293 cells assessed as induction of calcium flux by measuring log(Emax/EC50) incubated for 1 hr by Fluo-4 direct dye based FLIPR assay,CHEMBL4680082,44,gq
CHEMBL4681098,Agonist activity at human 5-HT2A receptor expressed in human Flp-In-293 cells assessed as induction of calcium flux incubated for 1 hr by Fluo-4 direct dye based FLIPR assay relative to 5-HT,CHEMBL4680082,44,gq
CHEMBL2400227,Agonist activity at human 5-HT2A receptor expressed in HEK293E cells assessed as increase in intracellular calcium level by FLIPR assay,CHEMBL2396562,40,gq
CHEMBL2343530,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as induction of intracellular calcium release measured for 90 secs by fluorescence assay,CHEMBL2331121,40,gq
CHEMBL5509697,Agonist activity at human 5-HT2AR expressed in HEK293 cells incubated upto 90 sec by Fluo-4 AM dye based Ca2+ imaging assay,CHEMBL5506019,40,gq
CHEMBL1287094,Antagonist activity at human 5HT2A receptor expressed in HEK cells assessed as inhibition of intracellular calcium accumulation by aequorin assay,CHEMBL1275351,38,gq
CHEMBL5135453,Antagonist activity at 5-HT2A receptor (unknown origin) expressed in CHO-K1 cells assessed as reduction in intracellular Ca2+ mobilization incubated for 15 mins by FLIPR assay,CHEMBL5131502,38,gq
CHEMBL4045106,Antagonist activity at 5-HT2A receptor (unknown origin) after 10 mins by calcium 5 dye based FLIPR assay,CHEMBL4043141,37,gq
CHEMBL926598,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as intracellular IP3 accumulation,CHEMBL1140712,37,gq
CHEMBL1074221,Activity at human 5HT2A receptor expressed in HEK293 cells assessed as [3H]inositol phosphate production by scintillation counting,CHEMBL1157565,37,gq
CHEMBL889875,Agonist activity at 5HT2A receptor expressed in HEK293 cells assessed as intracellular calcium mobilisation up to 10 uM,CHEMBL1146272,35,gq
CHEMBL4627009,Antagonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced intracellular Ca2+ mobilization incubated for 1 hr by Fluo-4 dye based fluorescence assay,CHEMBL4622985,34,gq
CHEMBL837403,Effective concentration towards 5-hydroxytryptamine 2A receptors transfected in HEK293 cells was determined by measuring [3H]phosphoinositol release,CHEMBL1142018,33,gq
CHEMBL5360446,Agonist activity at human 5-HT2A receptor expressed in CHO cells measured after 140 secs by Fluo-4 dye based calcium mobilization assay,CHEMBL5357083,31,gq
CHEMBL4254803,Antagonist activity at 5-HT2A receptor (unknown origin) after 10 mins by calcium 5 dye based FLIPR assay,CHEMBL4251643,30,gq
CHEMBL3774007,Agonist activity at human 5HT2A receptor expressed in Flp-In-293 cells assessed as calcium flux by FLIPR assay relative to 5-HT,CHEMBL3769385,27,gq
CHEMBL3806802,Antagonistic activity at human 5-HT2A receptor assessed as calcium flux after 10 mins by FLIPR assay,CHEMBL3804825,27,gq
CHEMBL3377153,Agonist activity at 5HT2A receptor (unknown origin) by cell based calcium mobilization assay relative to control,CHEMBL3351908,26,gq
CHEMBL3377152,Agonist activity at 5HT2A receptor (unknown origin) by cell based calcium mobilization assay,CHEMBL3351908,26,gq
CHEMBL5509698,Agonist activity at human 5-HT2AR expressed in HEK293 cells assessed as maximal response incubated upto 90 sec by Fluo-4 AM dye based Ca2+ imaging assay relative to 5-HT,CHEMBL5506019,25,gq
CHEMBL3420137,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as calcium flux at 10 uM by FLIPR assay,CHEMBL3414471,23,gq
CHEMBL4188000,Antagonistic activity at human 5-HT2A receptor assessed as calcium flux after 10 mins by FLIPR assay,CHEMBL4184238,23,gq
CHEMBL2025262,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux measured every sec for 3 mins by FLIPR assay,CHEMBL2021856,22,gq
CHEMBL1831392,Antagonist activity at human 5-HT2A receptor assessed as inhibition of intracellular calcium mobilization by FLIPR assay,CHEMBL1828541,22,gq
CHEMBL5547428,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as IP2 production measured after 30 mins incubation by HTRF assay,CHEMBL5543140,22,gq
CHEMBL2346333,Agonist activity at 5-HT2A receptor in HEK293E cells assessed as elevation of intracellular calcium level measured for 90 secs by FLIPR assay,CHEMBL2331262,21,gq
CHEMBL889898,Agonist activity at human 5HT2A receptor expressed in HEK293 cells by measuring intracellular calcium mobilization upto 10 uM,CHEMBL1146275,20,gq
CHEMBL2025263,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux measured every sec for 3 mins by FLIPR assay relative to 5HT,CHEMBL2021856,19,gq
CHEMBL3373159,Agonist activity at human 5HT2A expressed in HEK293 cells at 10 uM by calcium mobilization assay,CHEMBL3297719,17,gq
CHEMBL4681100,Agonist activity at human 5-HT2A receptor expressed in human Flp-In-293 cells assessed as induction of calcium flux up to 10 uM incubated for 1 hr by Fluo-4 direct dye based FLIPR assay,CHEMBL4680082,17,gq
CHEMBL1648602,Agonist activity at human recombinant 5HT2A receptor expressed in CHOK1 cells assessed as induction of intracellular calcium release by FLIPR assay relative to 5-HT,CHEMBL1641370,17,gq
CHEMBL1648601,Agonist activity at human recombinant 5HT2A receptor expressed in CHOK1 cells assessed as induction of intracellular calcium release by FLIPR assay,CHEMBL1641370,17,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,17,gq
CHEMBL5375653,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay,CHEMBL5370684,17,gq
CHEMBL4222628,Antagonist activity at human recombinant 5-HT2A receptor expressed in CHOK1 cells assessed as inhibition of serotonin-induced calcium release preincubated for 15 mins followed by 5-HT addition measured every 1.7 secs for 60 secs by calcium 4 dye-based FLIPR assay,CHEMBL4219158,16,gq
CHEMBL3774009,Agonist activity at human 5HT2A receptor expressed in Flp-In-293 cells assessed as calcium flux at 10 uM by FLIPR assay relative to 5-HT,CHEMBL3769385,16,gq
CHEMBL1227642,Antagonist activity at human 5HT2A receptor expressed in HEK cells assessed as intracellular calcium luminescence by aequorin assay,CHEMBL1221290,16,gq
CHEMBL4615083,Antagonist activity at 5HT2A receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of serotonin hydrochloride-induced calcium flux preincubated for 1 hr followed by serotonin hydrochloride addition by calcium 6 dye based FLIPR assay,CHEMBL4613264,15,gq
CHEMBL3420136,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay relative to 5-HT,CHEMBL3414471,15,gq
CHEMBL3420135,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay,CHEMBL3414471,15,gq
CHEMBL3636004,Antagonist activity at human 5-HT2A receptor assessed as inhibition of 5-HT-mediated internal calcium mobilization by FLIPR assay,CHEMBL3632459,15,gq
CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,CHEMBL1152674,15,gq
CHEMBL4615082,Antagonist activity at 5HT2A receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of serotonin hydrochloride-induced calcium flux at 1 uM preincubated for 1 hr followed by serotonin hydrochloride addition by calcium 6 dye based FLIPR assay relative to control,CHEMBL4613264,15,gq
CHEMBL5364596,Antagonist activity at 5-HT2A receptor in HEK293 cells assessed as calcium mobilisation by Fluo-4 dye based assay,CHEMBL5360648,14,gq
CHEMBL1046455,Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay,CHEMBL1156026,14,gq
CHEMBL2346330,Intrinsic activity at 5-HT2A receptor in HEK293E cells assessed as elevation of intracellular calcium level measured for 90 secs by FLIPR assay relative to serotonin,CHEMBL2331262,14,gq
CHEMBL2343044,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as accumulation of IP1 incubated for 1 hr at 37 degC followed by 15 mins at RT by TR-FRET assay,CHEMBL2331121,12,gq
CHEMBL4131901,Antagonist activity at recombinant human 5-HT2A assessed as inhibition of agonist-induced effect at 10 uM by aequorin reporter based assay,CHEMBL4130363,12,gq
