"compound_name","compound_id_in_paper","smiles","gq_emax","gq_ec50_nM","barr_emax","barr_ec50_nM","reference_agonist","paper_doi","notes"
"LSD","reference","CCN(CC)C(=O)[C@H]1CN(C)C[C@@H]2Cc3c[nH]c4cccc(c34)[C@@H]12","98.4","12.3","99.4","12.3","LSD","10.1021/acschemneuro.3c00267","reference agonist"
"5-HT","positive_control","NCCc1c[nH]c2cccc(O)c12","207.0","88.1","115.0","9.43","LSD","10.1021/acschemneuro.3c00267","positive control"
"2C-CN","1j","COc1cc(CCN)cc(OC)c1CC#N","85.7","503.0","73.3","174.0","LSD","10.1021/acschemneuro.3c00267","4-(cyanomethyl)-2,5-dimethoxyphenethylamine"
"2C-N","1g","COc1cc(CCN)cc(OC)c1[N+](=O)[O-]","99.7","92.5","71.5","32.2","LSD","10.1021/acschemneuro.3c00267","2,5-dimethoxy-4-nitrophenethylamine"
"2C-F","1d","COc1cc(CCN)cc(OC)c1F","95.8","75.0","77.5","26.4","LSD","10.1021/acschemneuro.3c00267","unnamed in paper; inferred as 2C-F from clogD and series position"
"2C-D","1b","COc1cc(CCN)cc(OC)c1C","121.0","59.4","85.7","16.9","LSD","10.1021/acschemneuro.3c00267","2,5-dimethoxy-4-methylphenethylamine"
"2C-T","1e","COc1cc(CCN)cc(OC)c1SC","121.0","37.1","93.9","13.1","LSD","10.1021/acschemneuro.3c00267","2,5-dimethoxy-4-(methylthio)phenethylamine"
"2C-P","1c","COc1cc(CCN)cc(OC)c1CCC","183.0","37.6","106.0","10.2","LSD","10.1021/acschemneuro.3c00267","2,5-dimethoxy-4-propylphenethylamine"
"2C-T-7","1f","COc1cc(CCN)cc(OC)c1SCCC","174.0","14.3","113.0","4.99","LSD","10.1021/acschemneuro.3c00267","2,5-dimethoxy-4-(propylthio)phenethylamine"
"DOT","1h","COc1cc([C@@H](C)N)cc(OC)c1SC","191.0","65.8","114.0","14.5","LSD","10.1021/acschemneuro.3c00267","alpha-methyl-2C-T; Aleph"
"DOT-7","1i","COc1cc([C@@H](C)N)cc(OC)c1SCCC","189.0","7.63","116.0","2.18","LSD","10.1021/acschemneuro.3c00267","alpha-methyl-2C-T-7; Aleph-7"
"25N-NBOH","2e","OCc1ccccc1NCCc1cc(OC)c([N+](=O)[O-])c(OC)c1","124.0","1.73","135.0","0.662","LSD","10.1021/acschemneuro.3c00267","N-(2-hydroxybenzyl)-2,5-dimethoxy-4-nitrophenethylamine"
"25T-NBOH","2a","OCc1ccccc1NCCc1cc(OC)c(SC)c(OC)c1","133.0","4.45","157.0","1.94","LSD","10.1021/acschemneuro.3c00267","N-(2-hydroxybenzyl)-2,5-dimethoxy-4-(methylthio)phenethylamine"
"25N-NBMD","2h","COc1cc(CCNCc2c3ccccc3cc3ccccc23)cc(OC)c1[N+](=O)[O-]","105.0","9.32","139.0","2.0","LSD","10.1021/acschemneuro.3c00267","N-(anthracen-9-ylmethyl)-2,5-dimethoxy-4-nitrophenethylamine"
"25N-NBOMe","2f","COc1cc(CCNCc2ccc(OC)cc2)cc(OC)c1[N+](=O)[O-]","168.0","2.53","173.0","1.09","LSD","10.1021/acschemneuro.3c00267","N-(4-methoxybenzyl)-2,5-dimethoxy-4-nitrophenethylamine"
"25N-NBF","2g","COc1cc(CCNCc2ccc3ccccc3c2)cc(OC)c1[N+](=O)[O-]","94.2","74.7","131.0","14.2","LSD","10.1021/acschemneuro.3c00267","N-(naphthalen-2-ylmethyl)-2,5-dimethoxy-4-nitrophenethylamine"
"25T-NBOMe","2b","COc1cc(CCNCc2ccc(OC)cc2)cc(OC)c1SC","179.0","4.22","177.0","2.05","LSD","10.1021/acschemneuro.3c00267","N-(4-methoxybenzyl)-2,5-dimethoxy-4-(methylthio)phenethylamine"
"25T7-NBOH","2c","OCc1ccccc1NCCc1cc(OC)c(SCCC)c(OC)c1","138.0","17.5","168.0","13.9","LSD","10.1021/acschemneuro.3c00267","N-(2-hydroxybenzyl)-2,5-dimethoxy-4-(propylthio)phenethylamine"
"25T7-NBOMe","2d","COc1cc(CCNCc2ccc(OC)cc2)cc(OC)c1SCCC","146.0","11.3","173.0","7.42","LSD","10.1021/acschemneuro.3c00267","N-(4-methoxybenzyl)-2,5-dimethoxy-4-(propylthio)phenethylamine"
