molecule_chembl_id,pref_name,max_phase,smiles,inchi_key,mw,alogp,hbd,hba,molecule_type,gq_emax,barr_emax,document_chembl_id
CHEMBL39,SEROTONIN,3.0,NCCc1c[nH]c2ccc(O)cc12,QZAYGJVTTNCVMB-UHFFFAOYSA-N,,1.37,3,2,Small molecule,222.0,110.0,CHEMBL5113537
CHEMBL263881,LYSERGIDE,2.0,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,VAYOSLLFUXYJDT-RDTXWAMCSA-N,,2.91,1,2,Small molecule,100.0,99.7,CHEMBL5113537
CHEMBL3589598,,,COc1cc(CCNCc2cccc(O)c2)c(OC)cc1Br,MZWUFGTUXRBVNC-UHFFFAOYSA-N,,3.50,2,4,Small molecule,28.0,112.0,CHEMBL5113537
CHEMBL3589597,,,COc1cccc(CNCCc2cc(OC)c(Br)cc2OC)c1,NFOSUSKGYPPAMT-UHFFFAOYSA-N,,3.81,1,4,Small molecule,38.8,113.0,CHEMBL5113537
CHEMBL5208046,,,COc1cc(CCNC2COc3ccccc32)c(OC)cc1Br,ZZPBCWVOHRBRPY-UHFFFAOYSA-N,,3.73,1,4,,48.7,96.6,CHEMBL5113537
CHEMBL5176147,,,COc1cc(CCNC2CCOc3ccccc32)c(OC)cc1Br,VHCSKHPOCQXHCZ-UHFFFAOYSA-N,,4.12,1,4,,47.7,121.0,CHEMBL5113537
CHEMBL5184791,,,COc1cc(CCNCc2ccccc2O)c(OC)cc1C#N,VWEDZTZAXHMZIL-UHFFFAOYSA-N,,2.61,2,5,,123.0,150.0,CHEMBL5113537
CHEMBL5170895,,,COc1cc(CCNCc2ccccc2OC)c(OC)cc1C#N,QBJWOIWLBRLGKZ-UHFFFAOYSA-N,,2.92,1,5,,159.0,161.0,CHEMBL5113537
CHEMBL5201317,,,COc1cc(CCNCc2ccccc2F)c(OC)cc1C#N,QAYYSFNKTHOOBZ-UHFFFAOYSA-N,,3.05,1,4,,72.5,114.0,CHEMBL5113537
CHEMBL5189232,,,COc1cc(CCNCc2cccc3c2OCO3)c(OC)cc1C#N,CFFGJOIVRPVLGJ-UHFFFAOYSA-N,,2.64,1,6,,83.0,114.0,CHEMBL5113537
CHEMBL5190617,,,COc1cc(CCNCc2cccc(O)c2)c(OC)cc1C#N,RTWSFJCMCLECPU-UHFFFAOYSA-N,,2.61,2,5,,22.5,106.0,CHEMBL5113537
CHEMBL5173321,,,COc1cc(CCNC2COc3ccccc32)c(OC)cc1C#N,HGVSMNAHTYILSO-UHFFFAOYSA-N,,2.84,1,5,,18.0,82.9,CHEMBL5113537
CHEMBL5418595,,,Cc1ccnc2[nH]cc(C3=CCCN(C)C3)c12,LSHNNYVDFHJVMJ-UHFFFAOYSA-N,,2.59,1,2,,68.7,38.9,CHEMBL5370684
CHEMBL5410020,,,COc1ccnc2[nH]cc(C3=CCCN(C)C3)c12,LZVMEEZIJRBYQX-UHFFFAOYSA-N,,2.29,1,3,,67.1,32.2,CHEMBL5370684
