assay_chembl_id,assay_description,document_chembl_id,standard_type,standard_units,molecule_chembl_id,standard_value,standard_relation,pathway
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL39,222.0,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL263881,100.0,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL3589598,28.0,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL3589597,38.8,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5208046,48.7,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5176147,47.7,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5184791,123.0,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5170895,159.0,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5201317,72.5,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5189232,83.0,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5190617,22.5,=,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5173321,18.0,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5418595,68.7,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5410020,67.1,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5416033,85.7,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5440705,96.1,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5405349,91.0,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5422786,59.6,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5428466,102.5,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5415797,58.8,=,gq
