assay_chembl_id,assay_description,document_chembl_id,n_records,pathway
CHEMBL5375655,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment incubated for 30 mins using coelenterazine h as a substrate by BRET assay,CHEMBL5370684,17,beta-arrestin
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,17,gq
CHEMBL5375653,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay,CHEMBL5370684,17,gq
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,17,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,12,beta-arrestin
CHEMBL5120416,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay,CHEMBL5113537,12,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,12,gq
CHEMBL5120414,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay,CHEMBL5113537,12,beta-arrestin
CHEMBL5120422,Agonist activity at human N and C-terminal 5HT2A receptor expressed in HEK293T cells cotransfected with Renilla luciferase assessed as fold decrease in potency of Galphaq dissociation by BRET assay,CHEMBL5113537,2,gq
CHEMBL5120424,Agonist activity at wild type human 5HT2A transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay,CHEMBL5113537,1,beta-arrestin
