compound,best_score,pki_2A,scaffold_class
serotonin,-6.232,6.739104538782452,tryptamine
tryptamine,-6.614,6.188545724636036,tryptamine
DMT,-6.179,6.4287552285999885,tryptamine
5-MeO-DMT,-6.13,6.412762763864266,tryptamine
bufotenine,-6.265,6.508128163964701,tryptamine
psilocin,-6.213,6.469032318428085,tryptamine
5-Me-DMT,-6.414,6.4617708061439245,tryptamine
6-F-DMT,-6.355,6.062482107982653,tryptamine
psilocybin,-6.452,7.886056647693163,tryptamine
DPT,-6.469,5.588548657862063,tryptamine
5-MeO-MiPT,-6.962,6.348431261134208,tryptamine
5-MeO-T,-6.516,6.279651850759016,tryptamine
DALT,-6.697,6.154281982033341,tryptamine
5-MeO-DALT,-6.773,6.661543506395395,tryptamine
5-F-DALT,-6.712,6.607303046740334,tryptamine
5-Br-DALT,-7.004,6.3214816209598865,tryptamine
4-HO-DALT,-6.953,6.185752404268079,tryptamine
4-AcO-DALT,-7.09,6.247951552180561,tryptamine
2-Ph-DALT,-7.891,7.886056647693163,tryptamine
7-Et-DALT,-6.822,5.819587367161676,tryptamine
5-MeO-2-Me-DALT,-6.898,5.938170692705301,tryptamine
5-MeO-2-F-DALT,-6.989,6.183758700008217,tryptamine
MDMA,-6.336,5.094413652466723,phenethylamine
MDA R(-),-6.238,5.473676110573239,phenethylamine
DOB,-5.572,8.269112634617423,phenethylamine
DOI,-5.657,8.279626981195609,phenethylamine
DOM,-5.878,7.487311002642091,phenethylamine
DOET,-5.643,7.275724130399211,phenethylamine
2C-B,-5.175,7.812296233345607,phenethylamine
2C-E,-5.377,7.357535479757878,phenethylamine
2C-T-2,-5.372,7.399027104313252,phenethylamine
