compound,5-HT1A,5-HT1B,5-HT1D,5-HT1E,5-HT1F,5-HT2A,5-HT2B,5-HT2C,5-HT3,5-HT4,5-HT6,5-HT7
2-Bromo-LSD,,,,,,8.824553574203385,8.017241185133672,7.723665891943903,,,7.826017523326939,7.681005210752414
2-Iodo-LSD,,,,,,,,5.400116927926312,,,,
2-Me-DMT,,,,,,,,,,,6.522878745280337,
2-Ph-DALT,6.39577394691553,6.5638373529592435,6.690369832574101,,,7.886056647693163,6.71669877129645,6.555955204081924,,,7.167491087293763,
2C-B,6.619066137851304,6.981299501333757,7.580044251510242,6.922632094715844,,7.812296233345607,7.8696662315049934,7.188039553374185,,,6.4949857599158936,6.678815972697686
2C-E,6.512437439743621,6.597051170655595,7.135488918941608,6.203217588298692,,7.357535479757878,7.600326278518962,6.982549270489464,,,5.527097348196336,6.370998380713008
2C-H,,,,,,5.795880017344075,,,,,,
2C-T-2,6.418847108033711,6.066765871285192,,5.693567140594955,,7.399027104313252,8.221848749616356,7.268411234813261,,,5.865822892423234,6.013810700263176
4-AcO-DALT,6.416801226031377,,6.096367483915762,6.330683119433887,,6.247951552180561,7.200659450546418,5.819587367161676,,,5.746904414150968,6.140261433802853
4-HO-DALT,6.496209316942819,5.603103550857476,6.159266765388193,6.623423042943488,,6.185752404268079,5.586197483230649,5.675100502947687,,,6.671620396561263,6.221848749616356
4-HO-DET,,,,,,6.236572006437063,,,,,,
4-MeO-DMT,,,,,,5.886056647693163,,,,,,
5-Br-DALT,7.958607314841775,6.022276394711152,6.886056647693163,6.290730039024169,,6.3214816209598865,7.275724130399211,6.446116973356125,,,6.876148359032914,7.309803919971486
5-F-DALT,7.096910013008056,5.747875447494356,6.088309841246138,6.324221658325914,,6.607303046740334,7.795880017344075,6.991399828238082,,,7.130768280269024,6.39577394691553
5-HO-DiPT,,,,,,6.211124884224583,,,,,,
5-Me-DMT,,7.062446207167021,7.530964114312319,6.278686125549292,7.430919728918205,6.4617708061439245,,7.0,,,7.101972647803133,7.880833550701036
5-MeO-2-F-DALT,6.497572880015568,5.6965879294032575,5.79805693659835,5.895171596346344,,6.183758700008217,7.769551078621726,6.266802734893431,,,6.774690718274137,6.30715308072277
5-MeO-2-Me-DALT,6.573488738635424,5.644548479873483,6.045757490560675,5.7975116829399065,,5.938170692705301,6.617982957425132,,,,6.686132779630847,
5-MeO-7-Me-DMT,,,,,,6.443697499232712,,,,,,
5-MeO-AMT,,,,,,6.501744163922911,,,,,,
5-MeO-DALT,7.721246399047171,6.133712660915805,6.97061622231479,6.301029995663981,,6.661543506395395,7.229147988357855,6.341035157335565,,,6.815308569182401,7.045757490560675
5-MeO-DET,,,,,,5.950781977329818,,,,,,
5-MeO-DMT,7.553748799682389,6.7927305819015995,8.200659450546418,6.443456291516485,,6.412762763864266,5.648388713228598,6.776399856441983,,,7.449771646944906,8.4089353929735
5-MeO-DiPT,6.878112014896319,5.289290434275663,5.764976840504776,,,,6.787812395596042,,,,,5.909741947068683
5-MeO-MiPT,7.910094888560602,,,5.456428576037634,,6.348431261134208,7.232844133917819,5.6603498423863154,,,6.885389015767827,7.703334809738469
5-MeO-T,7.506444445808619,7.619206887527216,8.208296169272804,5.501551596826,5.933301449577005,6.279651850759016,8.26135012593252,7.461913776082298,,6.356939721980465,7.649046753265474,8.741906004020533
6-F-DMT,6.406049704736013,6.662141570958905,7.256490235271571,6.336487529584844,,6.062482107982653,7.525783735923745,6.171211251815047,,,7.59176003468815,7.38933983691012
6-MeO-DMT,,,,,,5.136677139879544,,,,,,
7-Br-DMT,,,,,,6.769551078621726,,,,,,
7-Et-DALT,5.99439055463972,,5.570086302236246,,,5.819587367161676,7.187086643357144,6.3535962737769305,,,,
7-MeO-DMT,,,,,,5.267606240177031,,,,,,
AMT,,,,,,5.6020599913279625,,,,,,
AMT (+),,,,,,5.689295535228847,,,,,,
AMT (-),,,,,,5.352663982325896,,,,,,
AMT-iso,,,,,,5.301029995663981,,,,,,
BenzO-DOB,,,,,,6.853871964321762,,,,,,
DALT,7.0,,6.161780778092375,6.422508200162774,,6.154281982033341,7.214670164989233,6.414539270491499,,,5.764976840504776,
DMT,6.682949902192663,5.657577319177793,6.786541264382331,6.341320971417551,,6.4287552285999885,6.613912519587693,6.627682987666785,,,6.739802781222529,7.057991946977687
DOB,5.348712666239135,6.080398976215889,5.763099011128972,6.2549252084179425,,8.269112634617423,7.782947806598246,7.717831613044396,,,,
DOET,5.405607449624574,5.6106566887479215,,,,7.275724130399211,,6.995678626217357,,,,
DOI,5.6280090885350855,5.899284913426918,5.906095255857023,5.527243550682788,5.679850764989683,8.279626981195609,7.820017412518396,7.911377799456296,,,,
DOM,4.993178247711842,5.685500772026849,,,,7.487311002642091,,7.028646992450504,,,,
DOM-iso,,,,,,5.200728391650127,,,,,,
DPT,7.497572880015567,6.068338760315519,6.2084496949726695,5.6311554931741785,,5.588548657862063,7.376750709602099,5.80493100353141,,,5.342657263185374,6.546834607474143
DiPT,6.919012953089113,,5.426896216836009,,,,6.399571674267869,,,,,5.465593100862122
Iodo-LSD,,,,,,8.821023052706831,,,,,,
LSD,8.739937790831043,7.401654005740087,7.9472716651667765,7.031517051446065,,8.572840961228067,7.730985423583231,8.152432028739542,,,8.406965263170079,8.070532941388453
LSD (+),,,,,,8.624928621814092,,8.207608310501746,,,8.899629454882437,7.780848986313148
LSD (-),,,,,,5.560720618887956,,,,,,
MDA,,,,,,5.176053370167844,,5.532836034030909,,,,
"MDA (R,S)",,,,,,,6.860623199523586,,,,,
MDA R(-),,,,,,5.473676110573239,6.823908740944319,5.939385949612405,,,,
MDMA,4.913640169325252,,,,,5.094413652466723,6.051633986661915,,,,,
OH-DOB,,,,,,6.6777807052660805,,,,,,
"TMA-2,3,5",,,,,,,,5.408751873338156,,,,
bufotenine,7.8072169289421005,6.4546689932361225,8.100339657627533,,7.50003813440381,6.508128163964701,,7.159967521999358,7.468521082957745,,7.4335574281225725,7.463431561490833
melatonin,,,,,,,5.2399999989951525,,,,,6.0
mescaline,5.734946211495986,,,5.2835792661534455,,,,,,,,
psilocin,7.20342566678957,6.515700160653214,7.730487055782084,7.353596273776931,,6.469032318428085,8.327902142064282,6.850165303284215,,,7.1444808443322,7.145086977692144
psilocybin,,,5.673869043289205,6.710411047457404,,7.886056647693163,6.613765798473359,,,,6.383524486111435,6.223371446579851
serotonin,8.497039390769244,8.257445112240536,8.368868206403512,8.21694050884996,7.614012414102736,6.739104538782452,7.983917797907869,7.654469614811836,6.634776929854407,7.074602346467675,7.188025841542969,8.731757648692987
tryptamine,6.205005920204359,6.44563585020897,7.007676805107139,5.591929714112815,5.618163200001657,6.188545724636036,6.937628297916593,6.870808441669915,,,6.336769944848685,7.388312225679442
