compound,5-HT1A,5-HT1B,5-HT1D,5-HT1E,5-HT1F,5-HT2A,5-HT2B,5-HT2C,5-HT3,5-HT4,5-HT6,5-HT7,n_receptors,s_score,gini,entropy,ratio,top_receptor,pKi_top,pKi_2A,pKi_2B,selectivity_2A_over_2B
2-Bromo-LSD,,,,,,8.824553574203385,8.017241185133672,7.723665891943903,,,7.826017523326939,7.681005210752414,5,0.0,0.02576004082676353,1.2807127300994285,1.1006970316131575,5-HT2A,8.824553574203385,8.824553574203385,8.017241185133672,0.8073123890697129
2-Ph-DALT,6.39577394691553,6.5638373529592435,6.690369832574101,,,7.886056647693163,6.71669877129645,6.555955204081924,,,7.167491087293763,,7,0.0,0.03481954670388854,2.0961766464294027,1.1002534292192205,5-HT2A,7.886056647693163,7.886056647693163,6.71669877129645,1.1693578763967132
2C-B,6.619066137851304,6.981299501333757,7.580044251510242,6.922632094715844,,7.812296233345607,7.8696662315049934,7.188039553374185,,,6.4949857599158936,6.678815972697686,9,0.0,0.03861374999534517,2.673471886071268,1.007343551299874,5-HT2B,7.8696662315049934,7.812296233345607,7.8696662315049934,-0.057369998159386704
2C-E,6.512437439743621,6.597051170655595,7.135488918941608,6.203217588298692,,7.357535479757878,7.600326278518962,6.982549270489464,,,5.527097348196336,6.370998380713008,9,0.1111111111111111,0.05070203203102208,2.9084658466220175,1.0329989300668752,5-HT2B,7.600326278518962,7.357535479757878,7.600326278518962,-0.24279079876108334
2C-T-2,6.418847108033711,6.066765871285192,,5.693567140594955,,7.399027104313252,8.221848749616356,7.268411234813261,,,5.865822892423234,6.013810700263176,8,0.25,0.06959615811718334,2.360566151962675,1.1112067348453747,5-HT2B,8.221848749616356,7.399027104313252,8.221848749616356,-0.8228216453031045
4-AcO-DALT,6.416801226031377,,6.096367483915762,6.330683119433887,,6.247951552180561,7.200659450546418,5.819587367161676,,,5.746904414150968,6.140261433802853,8,0.25,0.034933026651986276,2.4782531808076924,1.1221571616298665,5-HT2B,7.200659450546418,6.247951552180561,7.200659450546418,-0.9527078983658566
4-HO-DALT,6.496209316942819,5.603103550857476,6.159266765388193,6.623423042943488,,6.185752404268079,5.586197483230649,5.675100502947687,,,6.671620396561263,6.221848749616356,9,0.3333333333333333,0.03664949805447759,2.64387163388224,1.0072768043510558,5-HT6,6.671620396561263,6.185752404268079,5.586197483230649,0.5995549210374307
5-Br-DALT,7.958607314841775,6.022276394711152,6.886056647693163,6.290730039024169,,6.3214816209598865,7.275724130399211,6.446116973356125,,,6.876148359032914,7.309803919971486,9,0.0,0.04760682849456033,2.7351104235023094,1.0887579751760044,5-HT1A,7.958607314841775,6.3214816209598865,7.275724130399211,-0.9542425094393243
5-F-DALT,7.096910013008056,5.747875447494356,6.088309841246138,6.324221658325914,,6.607303046740334,7.795880017344075,6.991399828238082,,,7.130768280269024,6.39577394691553,9,0.1111111111111111,0.04970549335167784,2.823123087120332,1.0932735030691474,5-HT2B,7.795880017344075,6.607303046740334,7.795880017344075,-1.1885769706037408
5-Me-DMT,,7.062446207167021,7.530964114312319,6.278686125549292,7.430919728918205,6.4617708061439245,,7.0,,,7.101972647803133,7.880833550701036,8,0.0,0.03941419173353955,2.6374714682044478,1.046457456320075,5-HT7,7.880833550701036,6.4617708061439245,,
5-MeO-2-F-DALT,6.497572880015568,5.6965879294032575,5.79805693659835,5.895171596346344,,6.183758700008217,7.769551078621726,6.266802734893431,,,6.774690718274137,6.30715308072277,9,0.3333333333333333,0.04876569129458508,2.592563044152755,1.146849561362859,5-HT2B,7.769551078621726,6.183758700008217,7.769551078621726,-1.585792378613509
5-MeO-2-Me-DALT,6.573488738635424,5.644548479873483,6.045757490560675,5.7975116829399065,,5.938170692705301,6.617982957425132,,,,6.686132779630847,,7,0.42857142857142855,0.03563553534627162,2.3283369619224423,1.0102976726661488,5-HT6,6.686132779630847,5.938170692705301,6.617982957425132,-0.679812264719831
5-MeO-DALT,7.721246399047171,6.133712660915805,6.97061622231479,6.301029995663981,,6.661543506395395,7.229147988357855,6.341035157335565,,,6.815308569182401,7.045757490560675,9,0.0,0.03939566967098207,2.7382734626435417,1.068071425772693,5-HT1A,7.721246399047171,6.661543506395395,7.229147988357855,-0.5676044819624604
