number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link
1,5-HT2C,HTR2C,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-MESULERGINE,PIG,Choroid Plexus,,23.4,"HOYER, 1989 (J.R.R.)",
2,5-HT2C,HTR2C,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-MESULERGINE,PIG,Choroid Plexus,,23.4,"HOYER, 1988",
3,5-HT2C,HTR2C,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-MESULERGINE,PIG,Choroid Plexus,,25.1,"HOYER, 1988 or 9 (book)",
4,5-HT2C,HTR2C,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-MESULERGINE,PIG,Choroid Plexus,,43.7,"MARKSTEIN ET AL, 1986",
5,5-HT2C,HTR2C,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-MESULERGINE,PIG,Choroid Plexus,,43.8,"ENGEL ET AL, 1986",
6,5-HT2C,HTR2C,694,"DMT,5-Me",CN(C)CCC1=CNC2=C1C=C(C=C2)OC,1832,,3H-MESULERGINE,PIG,Choroid Plexus,,100.0,"HOYER, 1988 or 9 (book)",
7,5-HT2C,HTR2C,172,5-Methoxytryptamine,COC1=CC2=C(C=C1)NC=C2CCN,608-07-1,56422.0,3H-MESULERGINE,PIG,Choroid Plexus,,7.9,"HOYER, 1988 or 9 (book)",
8,5-HT2C,HTR2C,182,5-NH2T,,,,3H-MESULERGINE,PIG,Choroid Plexus,,70.8,"ENGEL ET AL, 1986",
9,5-HT2C,HTR2C,182,5-NH2T,,,,3H-MESULERGINE,PIG,Choroid Plexus,,79.4,"HOYER, 1988 or 9 (book)",
10,5-HT2C,HTR2C,187,6-HT,,,,3H-MESULERGINE,PIG,Choroid Plexus,,5500.0,"ENGEL ET AL, 1986",
11,5-HT2C,HTR2C,203,8-OH-AT,,,,3H-MESULERGINE,PIG,Choroid Plexus,,7410.0,"HOYER ET AL., 1985",
12,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5000.0,"PAZOS ET AL, 1984",
13,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-5HT,PIG,Choroid Plexus,,5000.0,"PAZOS ET AL, 1984",
14,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,CORTEX,,5000.0,"PAZOS ET AL, 1984",
15,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,CORTEX,,5500.0,"TITELER ET AL., 1987",
16,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5750.0,"ENGEL ET AL, 1986",
17,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5750.0,"HOYER ET AL., 1989",
18,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5750.0,"HOYER, 1989 (J.R.R.)",
19,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5750.0,"HOYER, 1988",
20,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5750.0,"MARKSTEIN ET AL, 1986",
21,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,5750.0,"SCHLICKER ET AL., 1989",
22,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,6310.0,"HOYER, 1988 or 9 (book)",
23,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,7240.0,"HOYER ET AL., 1985",
24,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,125I-LSD,PIG,Choroid Plexus,,7590.0,"HOYER ET AL., 1986",
25,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,PIG,Choroid Plexus,,8710.0,"HOYER ET AL., 1986",
26,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,RAT,CORTEX,>,10000.0,"HOYER ET AL., 1985",
27,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MIANSERIN,RAT,Choroid Plexus,>,10000.0,"Sanders-Bush E, Breeding M., 1988",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=3139864
28,5-HT2C,HTR2C,205,8-OH-DPAT,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,78950-78-4,,3H-MESULERGINE,HUMAN,Choroid Plexus,>,10000.0,"HOYER ET AL., 1986",
29,5-HT2C,HTR2C,279,ALTANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=S,76330-71-7,,3H-MESULERGINE,PIG,Choroid Plexus,,117.0,"HOYER, 1989 (J.R.R.)",
30,5-HT2C,HTR2C,279,ALTANSERIN,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=S,76330-71-7,,3H-MESULERGINE,PIG,Choroid Plexus,,126.0,"HOYER, 1988 or 9 (book)",
31,5-HT2C,HTR2C,331,ATENOLOL,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,29122-68-7,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"HOYER, 1989 (J.R.R.)",
32,5-HT2C,HTR2C,331,ATENOLOL,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,29122-68-7,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"HOYER, 1988 or 9 (book)",
33,5-HT2C,HTR2C,360,BETAXOLOL,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,63659-18-7,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"HOYER, 1988 or 9 (book)",
34,5-HT2C,HTR2C,408,BOL 146,,,,3H-MESULERGINE,PIG,Choroid Plexus,,51.3,"MARKSTEIN ET AL, 1986",
35,5-HT2C,HTR2C,423,BROMOCRIPTINE,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,25614-03-3,,3H-MESULERGINE,PIG,Choroid Plexus,,200.0,"HOYER, 1988 or 9 (book)",
