number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link,ligandname_lower,canonical_name,ki_nM,censored,pKi
258,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,HUMAN,CORTEX,,119.51,"PIERCE & PEROUTKA, 1989",,dmt,DMT,119.51,False,6.922595753601902
260,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,BOVINE,HIPPOCAMPUS,,140.74,"PEROUTKA, 1985",,dmt,DMT,140.74,False,6.851582453308623
261,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,RAT,CORTEX,,245.0,"TAYLOR ET AL,. 1987",,dmt,DMT,245.0,False,6.610833915635467
262,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3770.0,"TITELER ET AL., 1988",,dob,DOB,3770.0,False,5.423658649794207
264,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,HUMAN,CORTEX,,6326.73,"PIERCE & PEROUTKA, 1989",,dob,DOB,6326.73,False,5.1988206991289925
265,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3770.0,"TITELER ET AL., 1987",,dob,DOB,3770.0,False,5.423658649794207
269,5-HT1A,HTR1A,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3930.0,"TITELER ET AL., 1988",,doet,DOET,3930.0,False,5.405607449624574
270,5-HT1A,HTR1A,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,2355.0,"TITELER ET AL., 1988",,doi,DOI,2355.0,False,5.6280090885350855
348,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,PIG,CORTEX,,2.57,"ENGEL ET AL, 1986",,lsd,LSD,2.57,False,8.590066876668706
351,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,CORTEX,,1.2,"SCHLEGEL & PEROUTKA, 1986",,lsd,LSD,1.2,False,8.920818753952375
352,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-IPSAPIRONE,BOVINE,HIPPOCAMPUS,,0.31,"DOMPERT ET AL., 1985",,lsd,LSD,0.31,False,9.508638306165727
353,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-WB4101,HUMAN,CORTEX,,0.64,"WANDER ET AL., 1987",,lsd,LSD,0.64,False,9.193820026016112
354,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,2.05,"HALL ET AL., 1985",,lsd,LSD,2.05,False,8.688246138944246
357,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,0.43,"TITELER ET AL., 1988",,lsd,LSD,0.43,False,9.366531544420413
358,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,PIG,CORTEX,,2.57,"MARKSTEIN ET AL, 1986",,lsd,LSD,2.57,False,8.590066876668706
360,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,CORTEX,,3.9,"PEROUTKA, 1986",,lsd,LSD,3.9,False,8.4089353929735
361,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,4.1,"HALL ET AL., 1986",,lsd,LSD,4.1,False,8.387216143280265
362,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,HUMAN,CORTEX,,4.92,"PIERCE & PEROUTKA, 1989",,lsd,LSD,4.92,False,8.30803489723264
707,5-HT2C,HTR2C,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-MESULERGINE,PIG,CORTEX,,69.0,"TITELER ET AL., 1988",,dob,DOB,69.0,False,7.161150909262744
708,5-HT2C,HTR2C,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-MESULERGINE,PIG,CORTEX,,69.0,"TITELER ET AL., 1987",,dob,DOB,69.0,False,7.161150909262744
712,5-HT2C,HTR2C,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-MESULERGINE,PIG,CORTEX,,101.0,"TITELER ET AL., 1988",,doet,DOET,101.0,False,6.995678626217357
713,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,125I-SCH 23982,PIG,Choroid Plexus,,11.7,"HOYER & KARPF, 1988",,doi,DOI,11.7,False,7.931814138253838
714,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,Choroid Plexus,,18.6,"HOYER & KARPF, 1988",,doi,DOI,18.6,False,7.730487055782084
715,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,Choroid Plexus,,18.6,"HOYER ET AL., 1989",,doi,DOI,18.6,False,7.730487055782084
716,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,Choroid Plexus,,18.6,"HOYER, 1988",,doi,DOI,18.6,False,7.730487055782084
717,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,CORTEX,,30.0,"TITELER ET AL., 1988",,doi,DOI,30.0,False,7.522878745280337
718,5-HT2C,HTR2C,722,DOM,CC1=CC(=C(C=C1OC)CC(C)N)OC,15588-95-1,,3H-MESULERGINE,PIG,CORTEX,,193.0,"TITELER ET AL., 1988",,dom,DOM,193.0,False,6.714442690992226
801,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,PIG,Choroid Plexus,,5.0,"PAZOS ET AL, 1984",,lsd,LSD,5.0,False,8.301029995663981
802,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,CORTEX,,7.9,"PAZOS ET AL, 1984",,lsd,LSD,7.9,False,8.102372908709558
803,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,7.9,"PAZOS ET AL, 1984",,lsd,LSD,7.9,False,8.102372908709558
804,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,7.94,"HOYER ET AL., 1986",,lsd,LSD,7.94,False,8.100179497572904
805,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,11.7,"ENGEL ET AL, 1986",,lsd,LSD,11.7,False,7.931814138253838
806,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,12.6,"HOYER, 1988 or 9 (book)",,lsd,LSD,12.6,False,7.899629454882437
810,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,11.7,"HOYER, 1989 (J.R.R.)",,lsd,LSD,11.7,False,7.931814138253838
811,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,CORTEX,,3.8,"TITELER ET AL., 1988",,lsd,LSD,3.8,False,8.42021640338319
812,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,11.7,"MARKSTEIN ET AL, 1986",,lsd,LSD,11.7,False,7.931814138253838
823,5-HT2C,HTR2C,1169,MDA,CC(CC1=CC2=C(C=C1)OCO2)N,1614,,3H-MESULERGINE,PIG,CORTEX,,2932.0,"TITELER ET AL., 1988",,mda,MDA,2932.0,False,5.532836034030909
1012,5-HT1B,HTR1B,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,125I-CYP,RAT,CORTEX,,2200.0,"OFFORD ET AL., 1988",,dmt,DMT,2200.0,False,5.657577319177793
1015,5-HT1B,HTR1B,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,STRIATUM,,831.0,"TITELER ET AL., 1988",,dob,DOB,831.0,False,6.080398976215889
1017,5-HT1B,HTR1B,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,STRIATUM,,831.0,"TITELER ET AL., 1987",,dob,DOB,831.0,False,6.080398976215889
1021,5-HT1B,HTR1B,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-5HT,RAT,STRIATUM,,2451.0,"TITELER ET AL., 1988",,doet,DOET,2451.0,False,5.6106566887479215
1022,5-HT1B,HTR1B,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-5HT,RAT,STRIATUM,,1261.0,"TITELER ET AL., 1988",,doi,DOI,1261.0,False,5.899284913426918
1023,5-HT1B,HTR1B,722,DOM,CC1=CC(=C(C=C1OC)CC(C)N)OC,15588-95-1,,3H-5HT,RAT,STRIATUM,,2063.0,"TITELER ET AL., 1988",,dom,DOM,2063.0,False,5.685500772026849
1144,5-HT2C,HTR2C,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-MESULERGINE,PIG,Choroid Plexus,,46.8,"ENGEL ET AL, 1986",,tryptamine,tryptamine,46.8,False,7.329754146925876
1145,5-HT2C,HTR2C,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-MESULERGINE,PIG,Choroid Plexus,,46.8,"HOYER, 1989 (J.R.R.)",,tryptamine,tryptamine,46.8,False,7.329754146925876
1146,5-HT2C,HTR2C,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-MESULERGINE,PIG,Choroid Plexus,,50.1,"HOYER, 1988 or 9 (book)",,tryptamine,tryptamine,50.1,False,7.300162274132754
1257,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,COW,CAUDATE,,71.38,"PIERCE & PEROUTKA, 1989",,dmt,DMT,71.38,False,7.146423456380358
1258,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,BOVINE,STRIATUM,,190.0,"HEURING & PEROUTKA, 1987",,dmt,DMT,190.0,False,6.721246399047171
1259,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,HUMAN,CORTEX,,270.0,"PEROUTKA ET AL., 1989",,dmt,DMT,270.0,False,6.568636235841012
1260,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,BOVINE,STRIATUM,,342.86,"PEROUTKA, 1985",,dmt,DMT,342.86,False,6.464883179197048
1261,5-HT1D,HTR1D,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,COW,CAUDATE,,1448.28,"PIERCE & PEROUTKA, 1989",,dob,DOB,1448.28,False,5.839147466661451
1262,5-HT1D,HTR1D,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,STRIATUM,,1800.0,"HERRICK-DAVIS & TITELER, 198",,dob,DOB,1800.0,False,5.7447274948966935
1263,5-HT1D,HTR1D,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,CORTEX,,3400.0,"HERRICK-DAVIS & TITELER, 198",,dob,DOB,3400.0,False,5.468521082957745
1264,5-HT1D,HTR1D,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-5HT,COW,CAUDATE,,1241.38,"PIERCE & PEROUTKA, 1989",,doi,DOI,1241.38,False,5.906095255857023
1322,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,CALF,CAUDATE,,6.31,"HOYER, 1988 or 9 (book)",,lsd,LSD,6.31,False,8.199970640755865
1323,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,COW,CAUDATE,,7.08,"HOYER, 1987",,lsd,LSD,7.08,False,8.14996674231023
1324,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,CALF,CAUDATE,,7.08,"HOYER, 1989 (J.R.R.)",,lsd,LSD,7.08,False,8.14996674231023
