canonical_name,receptors,n_receptors,has_5HT2A,has_5HT2B
serotonin,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT1F', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT4', '5-HT6', '5-HT7']",12,True,True
5-MeO-T,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT1F', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT4', '5-HT6', '5-HT7']",12,True,True
tryptamine,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT1F', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT4', '5-HT6', '5-HT7']",11,True,True
psilocin,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
DPT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
LSD,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
6-F-DMT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
5-MeO-DMT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
MDMA,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
DMT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
2C-B,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
2C-E,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
psilocybin,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",10,True,True
4-HO-DALT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT6', '5-HT7']",9,True,True
mescaline,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",9,True,False
DOI,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT1F', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT6']",9,True,True
2-Ph-DALT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT6', '5-HT7']",9,True,True
7-Et-DALT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT6', '5-HT7']",9,True,True
DiPT,"['5-HT1A', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",9,True,True
5-MeO-MiPT,"['5-HT1A', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",9,True,True
5-MeO-DiPT,"['5-HT1A', '5-HT1B', '5-HT1D', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT3', '5-HT6', '5-HT7']",9,True,True
2C-T-2,"['5-HT1A', '5-HT1B', '5-HT1E', '5-HT2A', '5-HT2B', '5-HT2C', '5-HT3', '5-HT6', '5-HT7']",9,True,True
