number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link,ligandname_lower
258,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,HUMAN,CORTEX,,119.51,"PIERCE & PEROUTKA, 1989",,dmt
260,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,BOVINE,HIPPOCAMPUS,,140.74,"PEROUTKA, 1985",,dmt
261,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,RAT,CORTEX,,245.0,"TAYLOR ET AL,. 1987",,dmt
262,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3770.0,"TITELER ET AL., 1988",,dob
264,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,HUMAN,CORTEX,,6326.73,"PIERCE & PEROUTKA, 1989",,dob
265,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3770.0,"TITELER ET AL., 1987",,dob
269,5-HT1A,HTR1A,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3930.0,"TITELER ET AL., 1988",,doet
270,5-HT1A,HTR1A,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,2355.0,"TITELER ET AL., 1988",,doi
348,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,PIG,CORTEX,,2.57,"ENGEL ET AL, 1986",,lsd
351,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,CORTEX,,1.2,"SCHLEGEL & PEROUTKA, 1986",,lsd
352,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-IPSAPIRONE,BOVINE,HIPPOCAMPUS,,0.31,"DOMPERT ET AL., 1985",,lsd
353,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-WB4101,HUMAN,CORTEX,,0.64,"WANDER ET AL., 1987",,lsd
354,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,2.05,"HALL ET AL., 1985",,lsd
357,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,0.43,"TITELER ET AL., 1988",,lsd
358,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,PIG,CORTEX,,2.57,"MARKSTEIN ET AL, 1986",,lsd
